username,full_name,class
10a-01,ليان محمد الخطيب,10A
10a-02,عبد الرحمن أحمد العمري,10A
10a-03,Omar Haddad,10A
10a-04,سارة خالد النسور,10A
10a-05,يزن إبراهيم الزعبي,10A
10a-06,آية سامر القاسم,10A
10a-07,مؤمن عادل الشرع,10A
10a-08,Lara Nasser,10A
10a-09,تالا فراس المجالي,10A
10a-10,حمزة يوسف العبادي,10A
10a-11,رهف نبيل الحياري,10A
10a-12,لؤي ماهر الطراونة,10A
10a-13,جنى وليد البطاينة,10A
10a-14,Adam Khoury,10A
10a-15,إسراء طارق الرواشدة,10A
10a-16,أنس زياد الحوراني,10A
10a-17,ملك رامي الصمادي,10A
10a-18,كريم هشام أبو زيد,10A
10a-19,شهد عمر الدجاني,10A
10a-20,زيد باسل الفايز,10A
10b-01,نور الهدى سليمان العتوم,10B
10b-02,محمد علي الربابعة,10B
10b-03,Yasmin Saleh,10B
10b-04,عمر حسن القضاة,10B
10b-05,رغد جمال الكردي,10B
10b-06,مالك سعيد الخصاونة,10B
10b-07,دانة أيمن الشوابكة,10B
10b-08,Faris Abu-Ghazaleh,10B
10b-09,هيا منذر العدوان,10B
10b-10,سيف الدين رائد المومني,10B
10b-11,لين عماد الحمود,10B
10b-12,عبد الله ناصر الجبور,10B
10b-13,ريم مهند الكايد,10B
10b-14,Sami Al-Masri,10B
10b-15,بتول غسان العزام,10B
10b-16,خالد مازن الرفاعي,10B
10b-17,جود أسامة النابلسي,10B
10b-18,إياد صالح الحديد,10B
10b-19,ميار بلال السعدي,10B
10b-20,تيم نادر الشياب,10B
11a-01,حلا إبراهيم الطويل,11A
11a-02,أحمد محمود الزيود,11A
11a-03,Maya Haddadin,11A
11a-04,فرح نضال العلي,11A
11a-05,يوسف بشار الحسيني,11A
11a-06,روان مروان عبيدات,11A
11a-07,براء سامي الخلايلة,11A
11a-08,Karim Tannous,11A
11a-09,سلمى رياض الشريف,11A
11a-10,عمرو فادي المصري,11A
11a-11,أسيل حازم البشير,11A
11a-12,مهند عصام الدباس,11A
11a-13,نايا جورج حداد,11A
11a-14,Rami Qasem,11A
11a-15,بيان كمال العساف,11A
11a-16,علي حسين الشمايلة,11A
11a-17,ديما خليل عربيات,11A
11a-18,قصي أنور الجعافرة,11A
11a-19,غنى مصطفى القيسي,11A
11a-20,إبراهيم عيسى المعايطة,11A
